Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Close,MA50,RSI
2020-01-02,162.4735870361328,162.5716404366982,160.42338822528217,161.29694622934818,2444800,162.4735870361328,,
2020-01-03,161.3236846923828,161.51088249153736,158.92584451156816,160.04008150253958,2344200,161.3236846923828,,
2020-01-06,159.94203186035156,160.52144327018271,158.61387004089124,160.18271086448223,3142500,159.94203186035156,,
2020-01-07,158.72975158691406,160.07574497776778,158.31970638886168,159.76375317915014,4096400,158.72975158691406,,
2020-01-08,160.46795654296875,161.38608672535318,158.20381938525375,158.56929237865646,2817500,160.46795654296875,,
2020-01-09,159.64788818359375,161.1899884351628,159.1754527677863,160.90473722481232,3311100,159.64788818359375,,
2020-01-10,158.61386108398438,160.38771761013328,158.50689868886693,159.64787624187062,2944300,158.61386108398438,,
2020-01-13,160.36099243164062,160.44122783721943,158.34645672123474,158.65844853902877,2035200,160.36099243164062,,
2020-01-14,161.16323852539062,162.88361388329452,160.58382713840612,160.89581893151512,2805900,161.16323852539062,,
2020-01-15,161.16323852539062,162.60728529018252,161.01170392921713,161.9030935077851,3450700,161.16323852539062,,
2020-01-16,163.92652893066406,164.16720791190366,161.2612829441222,161.8406806973205,3227400,163.92652893066406,,
2020-01-17,165.19236755371094,165.4865142242219,163.12433664780258,163.7304751951369,4008600,165.19236755371094,,
2020-01-21,162.6429901123047,164.48815993934625,161.44851743418553,164.15835006336232,3440900,162.6429901123047,,
2020-01-22,161.2791290283203,163.48978523816388,160.84235678805393,163.36499122644102,2993900,161.2791290283203,,
2020-01-23,166.8592529296875,167.2960252112427,161.279144274303,163.57002250791592,4950500,166.8592529296875,,59.3678763704584
2020-01-24,165.5132293701172,168.4370000359792,164.4881366780068,165.9232746078776,2734000,165.5132293701172,,58.87460243580794
2020-01-27,159.0863037109375,163.98003753335257,158.93476911044354,162.25964852487223,4183900,159.0863037109375,,48.506551297503634
