Price,Close,High,Low,Open,Volume
Ticker,CARR,CARR,CARR,CARR,CARR
Date,,,,,
2020-03-19,11.256906509399414,11.256906509399414,11.256906509399414,11.256906509399414,100
2020-03-20,11.96046257019043,12.194981444115733,11.256905948414522,12.194981444115733,2300
2020-03-23,10.825389862060547,11.960461108971174,10.78786688260145,11.960461108971174,18700
2020-03-24,10.975482940673828,12.101173338119107,10.78786802353603,12.101173338119107,96100
2020-03-25,12.617115020751953,12.617115020751953,11.069290837375199,11.069290837375199,19200
2020-03-26,14.493265151977539,14.493265151977539,13.133055963276194,13.133055963276194,76400
2020-03-27,13.648996353149414,15.009205414956144,13.648996353149414,14.071130076521385,486500
2020-03-30,14.915399551391602,15.478245188832918,14.305650856345576,14.305650856345576,210000
2020-03-31,16.181800842285156,16.181800842285156,13.658378379931927,15.375055416142972,461500
2020-04-01,14.118034362792969,15.00920577687101,13.658377650584706,15.00920577687101,2998900
2020-04-02,12.457640647888184,14.9153980069315,11.369473363156468,14.690260133114949,15966300
2020-04-03,15.872237205505371,15.947283172394219,12.551450039509199,12.898537860024735,66934300
2020-04-06,14.483882904052734,16.087991776562923,13.93041920309472,16.0035648525437,37138000
2020-04-07,14.30565071105957,14.821592391037873,13.64899807045922,14.25874675931273,23486000
2020-04-08,13.376954078674316,14.3056484169341,12.879773522354036,13.60209193741275,49372700
2020-04-09,13.864753723144531,14.540168240283087,13.039247289890382,13.13305518477182,34992600
2020-04-13,13.123674392700195,13.602093052710856,13.114293424162325,13.602093052710856,21497400
2020-04-14,13.011106491088867,13.320671320563818,12.926679556755976,13.133056407945434,22350000
2020-04-15,12.532687187194824,12.809419505413322,12.138695442430132,12.692160078867126,14990700
2020-04-16,12.091793060302734,12.429499905483405,11.500805410272703,12.335692001179536,21745200
2020-04-17,12.889154434204102,12.973581354519316,12.129313940603817,12.476401694974337,21336500
2020-04-20,13.555190086364746,13.827231931336662,12.640567058522937,12.664018586947677,20032200
2020-04-21,13.780325889587402,14.3056484560311,13.301908162115309,13.339431138674264,16235900
2020-04-22,13.87413501739502,14.221222805218396,13.339432330020951,14.02422693703557,12539500
2020-04-23,14.746546745300293,14.934161661730375,13.705282393530979,13.78970932957914,12226000
2020-04-24,15.24372673034668,15.637718508177427,14.343174223107612,14.633978018980212,17390000
2020-04-27,15.759665489196777,15.769046457598579,14.98575438303435,15.168678793777527,12186100
2020-04-28,15.94727897644043,16.650835401871625,15.581430207771891,15.834709161107371,12983800
2020-04-29,16.547649383544922,16.960403058039415,16.106754592331892,16.37879552628641,12523200
2020-04-30,16.613313674926758,16.73526447302519,15.933210474075823,16.153656965776186,19094100
2020-05-01,15.731523513793945,16.27560712671695,15.59081257392771,16.25684519093834,10727200
2020-05-04,15.384435653686523,15.497005484937533,14.718402107646357,15.149916812047287,9700300
2020-05-05,14.981066703796387,15.722146348544488,14.859116775594982,15.64710037651571,16298000
