Price,Close,High,Low,Open,Volume
Ticker,CEG,CEG,CEG,CEG,CEG
Date,,,,,
2022-01-19,40.760616302490234,41.73110716683524,36.87865284511021,36.87865284511021,129900
2022-01-20,43.672096252441406,46.9426499796391,39.74160833014757,39.74160833014757,153400
2022-01-21,43.672096252441406,48.47602758063585,41.682590385811636,41.73111419677734,329500
2022-01-24,41.537010192871094,43.67209093454113,40.64416033300907,43.59444988474668,110000
2022-01-25,40.661624908447266,43.59444766621972,40.110389031901036,41.245861561392836,23500
2022-01-26,41.94462203979492,43.730325620860405,41.00324458881413,43.681798109347675,90500
2022-01-27,44.40966033935547,48.15575566940604,42.45897533026184,45.865396636393015,151600
2022-01-28,45.370445251464844,46.195360957003665,42.84717063276959,43.2353647344996,43600
2022-01-31,46.58355712890625,46.58355712890625,44.64257558186849,44.64257558186849,71300
2022-02-01,48.31103515625,48.5245443360097,45.66159547975934,46.09831711920921,298800
2022-02-02,51.44572448730469,54.57070658302731,48.33044937443605,48.55851534382477,23860900
2022-02-03,52.037715911865234,54.90066452618056,48.81568673640383,50.649913764962015,8425500
2022-02-04,48.66041564941406,52.72677510000833,48.64100538615507,51.04782249833259,6757800
2022-02-07,44.71051788330078,48.563368149217204,44.642583812799465,48.52454762260812,9432500
2022-02-08,44.15734100341797,46.15655381897666,42.86658618168056,43.79826036592047,7277500
2022-02-09,45.9139289855957,46.049797128647036,42.58514467232107,43.42947077708953,4393100
2022-02-10,45.661598205566406,47.0688108157412,44.040880105015454,44.16704126228755,2450000
2022-02-11,46.670902252197266,47.466704404048855,44.70080713262914,45.38014772411569,3456800
2022-02-14,46.6903190612793,47.55405539343159,45.603370260311294,46.7679564102839,2155000
2022-02-15,46.58355712890625,47.02027871741545,45.807165250516846,46.29241063727629,2359800
2022-02-16,45.807167053222656,47.03969082835208,45.5645443502947,46.31182271956823,5855300
2022-02-17,43.953529357910156,45.69070878385146,43.85647805632961,44.95313370035378,3142600
2022-02-18,44.06998825073242,44.54553038430284,43.47798825466404,43.8176622649654,2018700
2022-02-22,42.25517654418945,44.332026569743874,42.206652737468204,44.069993570894134,2611100
2022-02-23,41.818450927734375,42.691894174695996,40.93530440119709,42.40074395762292,2791200
2022-02-24,43.15336227416992,43.4162554972813,41.108642157902985,42.01416202163678,2447900
2022-02-25,42.754154205322266,43.74730512794285,42.588630908693546,43.1338876169131,2040700
2022-02-28,44.76966857910156,45.392821272678,41.34232505014813,42.16021388903796,5534900
2022-03-01,46.53202438354492,46.785178767422174,44.15625014365502,44.41914337746003,4212900
2022-03-02,48.15806579589844,48.975954662976726,46.084136362539674,46.736498200397634,3517100
2022-03-03,48.21649169921875,49.005171507995264,46.29542714665701,48.50859409400445,2072200
2022-03-04,49.657527923583984,49.6964758957363,46.979916123782886,47.875697197587755,2544600
2022-03-07,50.29042053222656,51.19594047531805,48.557272877708726,49.71595093084898,2726900
2022-03-08,50.942771911621094,53.863802428178644,49.51146576993753,49.83278090961441,3873700
2022-03-09,49.97883987426758,52.2669792324044,49.258317293409114,51.05961817413105,3050600
2022-03-10,49.96910858154297,50.280684957065525,47.97307126513804,49.238850754983844,2692700
2022-03-11,48.021751403808594,50.47541799482665,47.01886523933825,50.066471705848734,3034100
2022-03-14,49.608848571777344,50.49489457677456,47.31097004076477,50.49489457677456,2916600
2022-03-15,49.93989562988281,50.23199799526438,48.586485155997856,49.98857873839923,2117400
2022-03-16,50.40726089477539,51.02067847104875,49.02463756412723,50.34883893513116,2989800
2022-03-17,49.647796630859375,51.3225187059333,49.569900680524924,50.514368649771754,2244600
2022-03-18,47.719905853271484,50.05673202721424,47.59333052360933,49.316739176892625,9663900
2022-03-21,47.924381256103516,48.12885252668664,47.320698865406406,47.622540060754964,2452000
2022-03-22,49.79384231567383,50.67988825720932,48.69358624070676,49.02463657679051,3841900
2022-03-23,49.647796630859375,50.40726357520356,49.365429382322006,49.365429382322006,2396200
2022-03-24,51.03041458129883,51.19594161297563,49.43066165581257,49.83279224285444,2335200
2022-03-25,52.383819580078125,52.40329356494557,50.66041091927879,50.864885903245565,2441200
2022-03-28,55.285377502441406,55.35353459361105,52.62723980397673,52.94855498887609,3127000
2022-03-29,54.84722900390625,55.87932428084483,53.1919773063934,55.499590832591345,2201300
2022-03-30,55.986427307128906,56.268794527584085,54.23380945602321,54.691435118734276,1934100
2022-03-31,54.76933288574219,57.52484066089408,54.31170349350406,56.80431802509042,3817600
2022-04-01,56.49273681640625,56.76536517254093,54.23380660027748,54.87643323565407,2156500
2022-04-04,56.84326934814453,57.15484571867241,56.01564159607465,56.823795360701126,1885100
2022-04-05,57.44694900512695,58.73220248233628,56.911427342003634,57.10616350521667,2143100
2022-04-06,58.03114318847656,58.49851138059586,56.83352101759228,57.34957231305822,2559400
2022-04-07,59.30666732788086,59.462455503004044,57.787729834717524,58.18693726561337,3925800
2022-04-08,62.334800720214844,63.19164126815752,59.29693311515633,59.60850947025378,4762100
2022-04-11,59.08271789550781,62.95990172713664,58.819824672081964,62.490587236217735,3487700
2022-04-12,60.241390228271484,61.54611745457809,59.277452153823575,59.39429234466638,2553000
2022-04-13,62.51005554199219,62.850848408204264,60.12455004990005,60.406917249254555,3405700
2022-04-14,60.90349578857422,63.016376816295626,60.5442094796464,62.43217210026848,1860100
2022-04-18,61.64349365234375,62.48085277197752,60.650342643345844,60.650342643345844,1216800
2022-04-19,64.95398712158203,65.12924926615895,61.224806410379344,61.955064108022235,2078800
2022-04-20,63.68822479248047,66.87214574668323,63.35230499325029,66.0347828185801,2182800
2022-04-21,61.02033233642578,64.55478439967521,60.51402359379268,63.28900140024412,2493700
2022-04-22,60.78665542602539,62.759325979494626,60.65034124026832,60.85481251890392,2030500
2022-04-25,60.6308708190918,61.18586644475025,57.87536296338121,60.71850190284225,2261600
2022-04-26,58.3719367980957,60.58218403022155,58.33298882673101,60.173237759458274,2136500
2022-04-27,58.50824737548828,59.579290521987005,58.15772308338826,58.43035143756261,1991600
2022-04-28,59.696144104003906,59.735088364995796,57.252212512590724,58.6348359205952,3354600
2022-04-29,57.65142059326172,60.231666411595036,57.59300234400415,59.88114205891604,2578400
2022-05-02,56.667999267578125,58.41088190057389,55.40221997465912,57.739042427521255,2488200
2022-05-03,58.12851333618164,58.858771032077684,56.9114171763549,56.9114171763549,2224200
2022-05-04,60.182979583740234,60.65520983131397,58.26775404005636,58.53746299794748,2628900
2022-05-05,58.57640838623047,60.35823908562034,57.612466518411146,59.60850734715709,1946800
2022-05-06,58.68351745605469,59.61824655184965,57.154844753259816,58.67377860535582,2861000
2022-05-09,56.103267669677734,58.975615560981865,55.0809075630869,58.975615560981865,2193700
2022-05-10,55.53853988647461,58.294044009675375,55.24156808874484,56.71668822688407,2156200
2022-05-11,55.8598518371582,57.47615560659422,55.04196295899279,55.60669743609227,1877000
2022-05-12,52.19078063964844,56.46599048884682,51.810111626555965,55.93891232179871,3785600
2022-05-13,53.303504943847656,54.56361927517381,52.34695101854591,53.225417085406356,2317500
2022-05-16,55.23613357543945,55.763215438321616,53.03996287019772,53.11804700353177,1631900
2022-05-17,57.900821685791016,58.05699367976307,54.64072805361961,55.48991303812802,2215100
2022-05-18,55.90962600708008,58.81345402528458,55.56800093361322,57.99842782412671,4609100
2022-05-19,55.8608283996582,56.13412848505963,53.60609152479326,55.763222290138955,2181100
2022-05-20,55.294700622558594,57.529911579421174,54.16245273981909,56.1341227597379,2266200
2022-05-23,55.24589538574219,56.21221218140947,54.523601292639405,56.12436519998517,1581800
2022-05-24,55.42158889770508,55.98771471193017,53.75249998765651,55.19709188554364,1682300
2022-05-25,57.7544059753418,57.92034080521746,55.51919511956202,55.51919511956202,1974700
2022-05-26,60.975467681884766,61.53475731220785,57.754413968092074,57.764176813018494,3260100
2022-05-27,65.00665283203125,65.04569676128389,60.516705224130654,60.90713706978898,2793800
2022-05-31,60.594791412353516,64.80167600236166,59.901774719241146,63.97201300749974,7389300
2022-06-01,62.127235412597656,62.39077264122722,60.66312149453268,60.8876185151572,2008600
2022-06-02,62.22484588623047,62.58599669224692,60.497190894812405,62.16627998495995,1758500
2022-06-03,63.61085891723633,64.24530968477332,61.60990424617667,61.74655426418556,1793500
2022-06-06,64.80168914794922,65.33853396069357,63.82073538670113,64.00130707513816,2033200
2022-06-07,64.95784759521484,65.10425300800598,63.602078365950206,63.95248326388889,2721700
2022-06-08,63.22043991088867,64.87977359653003,61.619679573171055,64.85049250771989,1922200
2022-06-09,59.74560546875,62.917852171539025,59.6968024180093,62.72263996857621,1811000
2022-06-10,58.35957717895508,59.59919398105014,57.793451386931864,58.41813934817544,1540800
2022-06-13,54.15269470214844,57.57872346306208,53.87939462036501,56.87594756883685,2113200
2022-06-14,53.1375732421875,55.12876906873885,52.044369223534204,54.68953414767101,2330400
2022-06-15,56.8076171875,58.130199563368535,54.347905513267136,54.36742747775716,3891700
2022-06-16,56.866180419921875,56.95402740005115,54.73833837883262,54.98235735436572,4837000
2022-06-17,56.71000289916992,58.07651051838783,54.15756674890483,57.14923775702094,6478700
2022-06-21,58.93546676635742,59.48206691408699,56.71001107360308,56.71001107360308,4363600
2022-06-22,57.793460845947266,58.98427479411374,57.45671714751371,57.86178587017637,3233400
2022-06-23,57.246856689453125,59.76513073649328,56.407430765961635,58.44742967650456,2667600
2022-06-24,57.861778259277344,58.89642005547985,56.592880331798014,57.432306202980456,6473700
2022-06-27,57.99842834472656,58.438638785307546,57.022352442135265,57.705606318635986,1718900
2022-06-28,56.690494537353516,59.452787616367324,56.44647554307792,58.40838661874255,1401700
2022-06-29,55.93891906738281,56.76370078739755,54.97260215163874,56.57336625789918,1412200
2022-06-30,55.89010238647461,57.426447078705294,55.197089416012176,55.53871820279127,2424400
2022-07-01,56.22197723388672,56.700256121753426,55.265423181587835,55.36303301759865,1531900
2022-07-05,53.625606536865234,55.99747118024127,51.624651763742264,55.78273702246017,2696000
2022-07-06,55.40206527709961,55.851063011438846,53.25470132114096,53.81106427453094,1716600
2022-07-07,57.69584655761719,58.46694740573088,56.192688790684336,56.192688790684336,1872100
2022-07-08,58.22292709350586,58.379099083657536,56.0462746283305,57.52991039648845,2096000
2022-07-11,58.40837860107422,58.701200609322626,57.01258984754183,58.222925531318126,1774700
2022-07-12,57.81298065185547,59.64800456231336,57.51039575341491,57.98867462857135,1808400
2022-07-13,58.38886260986328,58.83785664999967,56.758817572372116,56.758817572372116,1577200
2022-07-14,56.5343132019043,57.559195855005946,55.72417215740978,56.89546395850167,2608600
2022-07-15,54.3283805847168,55.290791413306884,51.38063112935937,53.645126758579124,5186100
2022-07-18,53.498722076416016,55.31422014502624,53.28398418428007,54.98235790944758,2583100
2022-07-19,53.68416976928711,54.17220767628063,52.87402505642967,54.113641787005264,2326200
2022-07-20,52.776432037353516,54.020930497828104,52.09317805363089,53.84035508707505,2803600
2022-07-21,52.86427307128906,53.54264555569012,52.03461000680027,52.57145103225974,1816800
2022-07-22,52.70810317993164,54.26982326625956,52.141977321491275,53.479204101558594,1503100
2022-07-25,53.64513397216797,53.742743802418126,52.0931730438163,52.68857997632222,1847700
2022-07-26,54.17221450805664,55.31422156719428,53.57680759068708,54.07460840372211,1993500
2022-07-27,54.20149612426758,54.42599314517789,52.883795085705295,53.713458150957955,1557200
2022-07-28,63.044742584228516,64.36245108568188,60.70216251791843,61.082835269413465,8460600
2022-07-29,64.51861572265625,65.00665367433575,62.11746989401729,62.3224449400985,3895200
